KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K00001	0.39631591230410673	0.044570107046239475	0.3688290610118283	0.05066418530621916	0.0	0.7787484845309399	1.4768538403542517	0.13706342690556783	0.00788333209703829	0.5209823001459994	0.5831114634101563	0.04685713634136656	0.6036498718482871	0.4376692841035611	0.9371511481114744	0.0014349701637193966	1.3532170042040579	0.18352238753155428	1.06921862887935	0.6690191017593591
K00002	0.010453254441575159	0.0	0.0	0.0	0.028987785007121375	0.03705473563808209	0.039922151394306264	0.0	0.016698856922737013	0.0	0.011115634002564575	0.023612966254460816	0.0	0.009443769488230752	0.0	0.01054400334115424	0.01100539976080393	0.0	0.0	0.028045296887075195
K00003	1.2249963268195438	1.0020183636660271	1.5095330374010982	0.8346690501913384	1.209294079473679	1.0247892609284743	1.0546553996305472	1.0142305074684261	1.023198743757252	1.083364027793607	1.3042757662151494	0.8885095508410733	0.9198314044136519	1.1393892857627013	1.5792837062702398	0.9937156424793868	1.207518798591382	1.2198897638375887	1.4420190922023433	1.318107155455839
K00005	0.019417126983861586	0.024712425797379898	0.018514618672440492	0.006309604796154119	0.17051038358588302	0.19788597607427438	0.26657499948974983	0.0	0.1703517383960186	0.0	0.26841763141546304	0.29541858433393725	0.028937503979911766	0.2940599595903118	0.024034985144657243	0.13883998919256324	0.061328243521698016	0.0	0.04802151217088078	0.2865208165716645
K00007	0.5964830590245598	0.3221847752859154	0.5262210407873373	0.0958658398395612	0.44222453159387126	0.22347982227323182	0.330527224287793	0.07686966965394407	0.2796346754748083	0.4074261345325864	0.6531074974756189	0.7503299861296935	0.25741655400469937	0.3788919180751615	0.8136685224508119	0.16637614129289796	0.5855330185459292	0.004602048651521504	0.37051168296658227	0.3170685387605996
K00008	0.6179299194479596	0.28525750998695065	0.5647753571955874	0.04825494947568667	0.39889859286610996	0.32956889448762916	0.3958584626957287	0.022954870995457843	0.1951269717897367	0.20190984394508915	0.6654848678385454	0.43488785215228626	0.2648852951660509	0.16877105454668986	0.8233063409944569	0.21191041245675896	0.5944219663738652	0.016802348138495488	0.2564712214426106	0.24187392056900056
K00010	1.2407491942481705	0.6177379320334809	1.1433017246182122	0.160502363946294	0.9512140629804672	1.213694175547205	1.6937750908638862	0.059619463924353765	0.852503281249436	0.5861436523088717	1.8458852497092626	2.148405430561294	0.4421631160356916	1.1600490092855618	1.728408804928356	0.7983768441017386	1.4332818494176296	0.013045181935615924	0.84043551048165	1.4255744197803544
K00011	0.0	0.0	0.0	0.0	0.0	0.005876238541302829	0.23638741197601862	0.0	0.0	0.0	0.0	0.0	0.008982743504724054	0.0	0.016423984918838806	0.0	0.0	0.0	0.1823846427653247	0.0
K00012	1.2099512302960624	1.075853409739112	1.186711807032822	0.9973771580801924	1.1900041515338136	1.2403996157869612	1.9756934662561985	0.7953467423457576	1.187498226037133	1.5713879131698365	1.5160318886657698	1.7025525969211455	1.8695847622615671	1.7530012033580455	1.286747006355008	1.0396499259332421	1.781634359386442	0.6958505270516229	1.338370734999239	1.5528838503233018
K00013	0.9244627209914038	0.9919920795121452	0.8186255766303946	1.007454217952381	0.9574883561504502	0.9528141131486779	1.0904646200725387	0.8894494477968046	0.9018925324812392	1.095658534920219	1.0951429070852918	1.1342432175534798	1.0649351781954313	1.0737302368615915	0.8806607514222792	0.9984137466808912	0.9762987959216328	0.9490642697220754	0.864647952569225	0.8769168435400241
K00014	2.5745709494521622	1.9660750488520413	1.8305425333936733	1.1150461464687247	2.194960723359987	2.327363213964	2.7578926684970835	1.1117262989599475	2.190577044171855	2.0449542634133966	2.8450325564852332	2.9274680588499313	1.6792595650516355	3.0467343029303393	3.391993417611576	2.0606834879140665	2.48647531732744	0.8969555005709139	1.7794006962108448	2.84559407277796
K00015	0.110737821197355	0.07648445617927778	0.07548655875539496	0.03579931093226274	0.07298067925898644	0.3400641698358696	0.12575368950221866	0.06522097584350019	0.04226411173017908	0.13096032639693153	0.10361032671367565	0.041401008570622205	0.11423204641587911	0.1626360585632919	0.043685659594019335	0.03216944828375491	0.32443176791109957	0.19874746769561222	0.03919164076364785	0.12355772500853342
