KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K00001	0.4194553201982076	0.047573065546254754	0.3878870085579528	0.05254336590591856	0.0	0.8315668600919954	1.5687448906196986	0.14604016050089544	0.008408889091898318	0.5506056998705474	0.6370131098198341	0.049190468993057505	0.6103399313033003	0.4679051662857278	1.0049375576150705	0.0015900892023368166	1.4097334213716202	0.19555553039314988	1.144071412402086	0.7186752329715911
K00002	0.011024931374992887	0.0	0.0	0.0	0.03084331000490221	0.03942973460520691	0.04219669635130214	0.0	0.01772390482299783	0.0	0.012100719821351824	0.02464824412731667	0.0	0.010149307899775197	0.0	0.011583906581709118	0.011424982616749586	0.0	0.0	0.030021637607383606
K00003	1.2965192932082923	1.0695304196550464	1.5875328603190908	0.898484368575926	1.2912124296580272	1.0942952761950842	1.1202769186272608	1.080349430255446	1.0914121908497123	1.1449648261960337	1.424840384787551	0.9327544302381623	0.9600264370166	1.2079595577762228	1.6935171170186814	1.091933514253111	1.2579502046015398	1.2950745391993541	1.5429705160074125	1.415940089808496
K00005	0.01924232172185203	0.024697963373264513	0.018231532513740472	0.006126991642607416	0.17046880088600447	0.19785329151070863	0.265132232132033	0.0	0.17013892145347428	0.0	0.2745592842981487	0.29038309914224014	0.028337471099462674	0.30113894586747325	0.024132460128457343	0.1440527295668188	0.05982164886995718	0.0	0.048111705456925724	0.2881898255880601
K00007	0.5728213089897751	0.32089153436127565	0.5079682252092322	0.09572587184387582	0.4366733310893269	0.22780440702895977	0.33701447446830785	0.07846508172634271	0.2853132186851707	0.41064584791008146	0.684600621656479	0.7539995239173511	0.2513123454126419	0.3902684473644077	0.8324887109283134	0.1768382067142179	0.5636579071735022	0.004654382152836681	0.3799843642189426	0.3252570033133429
K00008	0.654008542617406	0.3044770389734932	0.5939581420424463	0.05004476933257586	0.42592023728917006	0.3519218030172352	0.42048909905230303	0.024589670814697234	0.20813547424119108	0.2133905718197795	0.7270009454464954	0.45654384960501226	0.2713553514466758	0.1827520931935446	0.8828580802096545	0.23481774550409695	0.6192476962610742	0.018016268197157712	0.2744260010357949	0.25982635736042625
K00010	1.3073731625250733	0.6564370677917951	1.1970500970850704	0.1673284448258006	1.011149567088934	1.290269980488502	1.7911910718589525	0.06332002796513107	0.9053077284775187	0.6167272905491681	2.0075799830648755	2.24539539620614	0.45613568729507087	1.233967063575734	1.845216257559749	0.8807606758237967	1.486526025801075	0.013787822540192543	0.8952872044233261	1.5245982638647408
K00011	0.0	0.0	0.0	0.0	0.0	0.005989950335764833	0.24102698223930694	0.0	0.0	0.0	0.0	0.0	0.00876973257272011	0.0	0.016803872407656927	0.0	0.0	0.0	0.187047576933577	0.0
K00012	1.2805957696157613	1.1483401807086033	1.2480309756166468	1.0722423014519582	1.2751733902392441	1.3245293368122115	2.098622724830165	0.846928970145124	1.2666650036630758	1.6607380739355828	1.6561708156742745	1.7873341665133569	1.9573924094065682	1.862270696515724	1.3798205299547799	1.1517463451354766	1.8560434086241675	0.7387374887367179	1.4320660487491153	1.6681424491080428
K00013	0.9784386511011594	1.0588286039124195	0.8609251808333227	1.0739608343296907	1.0223492264614218	1.0149118477323817	1.1483216763087885	0.947117042367044	0.9591028690909195	1.1567795035526165	1.1898250355932722	1.186699239750188	1.1260168938938848	1.1334433547259388	0.9435340484129566	1.0997090974566028	1.0170734165915452	1.0075574106911902	0.9251793577177451	0.9391566702261666
