KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K00001	0.3953268560017581	0.04443476387695428	0.3679584862740743	0.04962978604233815	0.0	0.780790512130651	1.4872579517402782	0.13708353681426125	0.007915670802188099	0.5215608009803884	0.5893925792288575	0.04705590462730157	0.5767584207861972	0.4427892738294999	0.9378888249242483	0.0014738124203465101	1.3467946227542658	0.18383717847813233	1.082662434879221	0.6713217319380875
K00002	0.010427167027811261	0.0	0.0	0.0	0.028852372588057958	0.03715190024819178	0.04014507281943344	0.0	0.01674280940148007	0.0	0.011235368545528434	0.023661320300430284	0.0	0.009638190447217287	0.0	0.010774462012361919	0.010953168023357721	0.0	0.0	0.028141823199722707
K00003	1.2219391941135902	0.9989755991314967	1.505969974001047	0.8486625515131995	1.2036450298267203	1.0274764545426796	1.0620852156027214	1.01409174289274	1.0273960707348193	1.0845669995526281	1.3183250649533569	0.8922786143017791	0.9072048268975839	1.143119533492213	1.5805268365521106	1.0120848397270992	1.201787902284097	1.2174692719077225	1.4601502997964322	1.3226438171250932
K00005	0.019368669096553354	0.02463738316791812	0.01847091723727929	0.006180783015697684	0.16971386796693788	0.1984048709842052	0.2684529618930951	0.0	0.17105054881931867	0.0	0.2713089520916887	0.296671751945667	0.02859926990168591	0.3043532011440283	0.02405390423926894	0.1425981568720536	0.06103717906395145	0.0	0.048625310006055446	0.2875069640184816
K00007	0.5664781207607469	0.31449472304546877	0.5056191336943417	0.09487399909993834	0.4271208398231092	0.22443616510589223	0.3352554858066995	0.07728279042534428	0.28181516334112255	0.4081549243486107	0.6646407215379102	0.7568287112840334	0.24918927511620875	0.3875217262340672	0.8152372222633936	0.17198484911512038	0.5650323918222468	0.004591120017153386	0.37731061618292977	0.31879980581536377
K00008	0.616387797463287	0.284391286905548	0.5634422758024574	0.047269739037295616	0.39703519338913285	0.33043308721726944	0.3986471987415379	0.023081589562868533	0.19592741423333923	0.2021340454451417	0.6726532872450883	0.43673264933145045	0.2564251099187781	0.17294245173299974	0.8239544050754595	0.2176464750110271	0.5916008337703522	0.016936672184172604	0.2596959588840432	0.24270640231352017
K00010	1.2376527482763937	0.6158620870995131	1.140603104297046	0.1587533582551995	0.9467705983527392	1.2168767140089896	1.7057073648822807	0.059701154673783056	0.8560003877917226	0.5867945085698953	1.865768616387823	2.157518980775184	0.43295707924312904	1.1729282677536217	1.7297693187589789	0.8199875779328628	1.4264794794108786	0.013019297828268828	0.8510027150300408	1.4304809623175962
K00011	0.0	0.0	0.0	0.0	0.0	0.005901384876908497	0.23976898366352026	0.0	0.0	0.0	0.0	0.0	0.008695646444152756	0.0	0.016455649289959396	0.0	0.0	0.0	0.18573142253734254	0.0
K00012	1.2069316445244458	1.0725864350825485	1.1839107226568704	1.0127854409230133	1.1886937254277021	1.243652181025189	1.9896117933958997	0.7949869286622813	1.1923695361031093	1.5731327886073758	1.5323621659370572	1.7097748364310204	1.849694730766696	1.7623090078911712	1.2877598669084065	1.0675238005860026	1.7731787048798202	0.6944698280449986	1.3551987213728893	1.5582285665031705
K00013	0.9221556077716316	0.9889797611480071	0.8166933136337137	1.0144086795099985	0.9530155820319883	0.9529402617977892	1.0886732154208465	0.8890304796942539	0.9028472719984388	1.0957584430608829	1.100878515291038	1.1352037780907775	1.064062323620254	1.0726031600589299	0.8805821150143627	1.0192918260294415	0.9716652720618958	0.9471811467761462	0.8755195919314289	0.8772756503803992
