KO	Simulated_1	Simulated_2	Simulated_3	Simulated_4	Simulated_5	Simulated_6	Simulated_7	Simulated_8	Simulated_9	Simulated_10	Simulated_11	Simulated_12	Simulated_13	Simulated_14	Simulated_15	Simulated_16	Simulated_17	Simulated_18	Simulated_19	Simulated_20
K05349	0.0007088195625	0.0002963872912	0.0005763762276	0.0001225527932	0.0002610669043	0.0002024715163	0.0001393070205	5.2497364832e-05	0.0001498439498	0.0002486630461	0.0004583503634	0.0004237505967	0.0001211900595	0.0001751811159	0.0009606903078	0.0001621372277	0.0002522989724	1.4389647290e-05	0.0004028749621	0.0001453738557
K05350	0.0001036687135	0	8.0002009746e-05	5.9649481296e-06	0	9.5404788775e-06	0	0	0	0	4.0324627741e-05	3.4994715323e-06	0	0	0.0002303766735	0	0	0	9.7265935426e-05	0
K05351	9.2949070179e-05	0.0001781311519	9.0303891697e-05	8.3749030445e-05	0.0002904199625	0.0001795036381	0.0002528419109	7.8360514761e-06	0.0002854988138	4.2007098987e-06	0.0002449699476	0.0004120432972	8.7115523414e-06	0.0001403899638	2.4066774785e-05	0.0002168897150	3.0555093801e-05	0	1.8027517247e-05	0.0002841211938
K05361	0	0	0	0	0	0	3.2259675887e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
K05365	1.2382115418e-05	0.0001024769284	9.4820122056e-06	0.0003723527660	8.6551686464e-05	7.3542478394e-05	0.0001055185943	1.6974821837e-06	0.0001051272526	0.0001055573852	7.8114170237e-05	0.0001286277270	1.9377619631e-06	0.0001185273133	6.3684388662e-06	0.0001222399044	1.9370587372e-05	1.6954144330e-06	1.0010451473e-05	0.0001293790825
K05366	0.001205052676	0.001171121177	0.001236401080	0.0008198008911	0.0008624364822	0.001097719486	0.001039008879	0.0008952422652	0.0008408108724	0.001163544087	0.001317592656	0.001052056993	0.001063932860	0.001164600223	0.001473776056	0.0007856120601	0.001406198562	0.0007571433236	0.001059872289	0.0009594724278
K05367	0.0004198964304	0.0003809237634	0.0002763819291	0.0005097402513	0.0001989077961	0.0001288692578	0.0002078868521	0.0004740995563	0.0003354276162	0.0003416745553	0.0002185476934	0.0002785303203	0.0003667935343	0.0003587388183	0.0003138539563	0.0003479998854	0.0002601153703	0.0001406301395	0.0003291772608	0.0001639657658
K05372	0	0.0001009279468	1.9524090467e-05	4.8542336503e-05	0	0	0	4.2250810467e-06	0	0	9.8580730566e-06	0.0001217170693	0	0	0	0	0	0	0	0
K05373	0	0.0001121089786	7.5770011396e-06	4.1152027442e-05	0	0	0	6.5587575428e-06	0	0	1.9138100860e-05	6.3077357844e-05	0	0	0	0	0	0	0	0
K05374	0	6.6135605109e-05	0	2.2082004056e-05	0	0	0	5.2854935447e-06	0	0	0	0.0001015104447	5.9272718872e-06	0	0	0	0	0	0	0
K05375	0.0003608152688	0.0004763962641	0.0004486215903	9.0596466511e-05	0.0006123256962	0.0003688651899	0.0002762090895	0.0001920088983	0.0005597842353	0.0002199442282	0.0004349152327	0.0008062964756	0.0003455122486	0.0002722788155	0.0002216049459	0.0003975326295	0.0003247319960	7.2208465757e-05	0.0002764014579	0.0003122700684
K05394	1.4150989049e-05	1.1432389280e-05	9.8995873940e-05	0	8.2813573760e-05	0	1.9908828547e-05	4.6548852097e-05	0	9.7319303612e-05	7.2570583963e-05	2.4889580213e-05	0	1.3538167454e-05	2.5473755465e-05	8.4105752149e-05	7.9696130903e-05	0.0001075377154	0	0.0001421264856
K05396	0.0001077623534	9.8618362273e-05	0.0001288585944	1.9883160432e-06	0.0001826427177	6.4576556554e-06	8.7183866827e-06	5.8794872507e-06	0.0001093685169	0	8.7810940480e-05	0.0001271383301	0	0	3.8453895399e-05	0.0001327358948	1.3181994136e-05	5.7687830229e-06	0	1.9417665872e-05
K05456	0	0	0	0	0	0	0	0	9.5547564804e-07	0	1.0027823039e-06	0	0	0	0	0	0	0	0	0
K05501	0.0005371845182	0.0003376856188	0.0004581495525	0.0005959774112	0.0002776651883	0.0004151764008	0.0002126090867	0.0004909767746	0.0004975408019	0.0003463668970	0.0003525677492	0.0001633219601	0.0003717325741	0.0003970733315	0.0003593905059	0.0003820467592	0.0002991448601	0.0004128770755	0.0002266311120	0.0003340315869
K05515	0.0004651676634	0.0005347585062	0.0005084862226	0.0006201112243	0.0004375030841	0.0004605860599	0.0003379459892	0.0005888198472	0.0005151817166	0.0005095815183	0.0004144518254	0.0003192616807	0.0004025959420	0.0004029720528	0.0003564175222	0.0005310849085	0.0003930438465	0.0005459292068	0.0003287548475	0.0004064103117
K05516	0.0001641252031	0.0001318776150	1.9898354182e-05	5.6542376875e-05	0.0001403680680	0.0003923661973	0.0001156044927	0.0001272151893	0.0002597587412	9.2041032175e-06	8.0376365624e-05	0.0001085275549	3.2738020147e-05	0.0001363581561	2.0480848621e-05	0.0002106894533	1.9308700511e-05	0.0003458919058	3.9486664051e-05	0.0001924889409
K05520	0.0003715893754	0.0003270458913	0.0003945494320	6.5511153774e-05	0.0002613641205	0.0004732214378	0.0005895975920	5.5205422497e-05	0.0002376622917	0.0003313852367	0.0005359374540	0.0004316537840	0.0003538605891	0.0004243747213	0.0004588536738	0.0002710879582	0.0005173763776	6.8876211342e-06	0.0004737172772	0.0003625589103
K05521	0.0001042888031	0.0002321040057	0	0.0004329880690	8.8451117513e-06	0.0001057384942	4.2528248775e-06	5.5541243979e-05	0.0002246583079	0.0001210848347	0	9.1144941627e-06	2.9821401640e-05	0.0001263451554	3.6391079235e-05	8.6964709867e-05	0	1.4532123711e-05	4.2901934885e-06	0
K05523	0	1.0465143842e-05	5.3141509038e-06	0	0	5.0523512626e-06	0.0001133602808	2.7600017486e-05	0	6.9046480792e-05	0	0	0	7.0437488613e-05	5.6511744205e-06	0	0	4.5133899582e-06	9.0606543709e-05	0
K05524	0.0005957434296	0.0006003494561	0.0005515389572	0.0004983856518	0.0005060597999	0.0005658384610	0.0005335606834	0.0005348989297	0.0006126079229	0.0004065970009	0.0004558573371	0.0004365767187	0.0005781863280	0.0004699898123	0.0003412977514	0.0005595146870	0.0003701139606	0.0008849343323	0.0004933353652	0.0004917216924
K05526	0.0002773713933	0.0001984968494	0.0002678885070	3.2070997709e-05	0.0001813726677	0.0001266198618	0.0001168596008	3.5109363232e-05	9.0673238431e-05	0.0001955673589	0.0002146335470	0.0002878873116	9.0578652745e-05	0.0001144820439	0.0002444989832	0.0001020405740	0.0002035467287	1.5355562567e-05	9.9586922246e-05	0.0001348035683
K05527	0.0004883229908	0.0003588065049	0.0004374164054	0.0001143087251	0.0003213622059	0.0004320924623	0.0002486082434	0.0005846583789	0.0003148766138	0.0003642648898	0.0002825184635	0.0003836282646	0.0004234760763	0.0003485184936	0.0003200270102	0.0005408693849	0.0003584230117	0.0006564390202	0.0002731268115	0.0005757936907
K05539	0.0003110283006	0.0001879485886	0.0002735447904	6.1684688457e-05	0.0002268464913	0.0003207536600	0.0003175376259	5.9799119695e-05	0.0001986361720	0.0002133990494	0.0003374815605	0.0004157832870	0.0003029220279	0.0003046607855	0.0003445671584	0.0001967609351	0.0003005203044	0.0001643761211	0.0002749433016	0.0002511887673
K05540	0.0003613399930	0.0004184531652	0.0004583629021	0.0006109423256	0.0003277653900	0.0003746855134	0.0002576349070	0.0006044480041	0.0004571087493	0.0004304865852	0.0003408538640	0.0001819232577	0.0003331595586	0.0003192956739	0.0002975296134	0.0004129081299	0.0003300567692	0.0005080753719	0.0002571881146	0.0003200707739
K05541	1.4812960163e-05	8.4347704662e-05	2.3881076914e-05	5.8512082566e-05	0.0001765545208	0.0001409362072	0.0002140802282	8.6001825262e-06	9.6508902265e-05	4.4877149228e-06	6.2701578168e-05	0.0001240661590	0.0001237187675	7.7121946727e-05	6.7176147474e-05	0.0001219017419	1.3904041242e-05	0.0001831376011	0.0002490220477	0.0001853377797
K05548	0.0001141039923	6.8830161819e-06	9.3079382285e-05	6.2566914049e-06	9.9177558374e-05	0.0002817411220	0.0003962221970	2.9818602962e-06	9.8067803660e-05	9.0202019102e-05	0.0002315531850	0.0001202886916	0.0002585951763	0.0001622885825	0.0003257268852	8.6361713399e-05	0.0002565459810	2.0480006204e-05	0.0003620626272	0.0002444517417
K05549	0.0002588718457	0.0001483196429	0.0001580132390	4.3362614491e-05	0.0001924720525	0.0002350315601	0.0003320797623	2.9621996789e-06	0.0001551210901	8.6144458954e-05	0.0002741208554	0.0003311582738	0.0001504509734	0.0001823904441	0.0003312650991	0.0001426470117	0.0002606315251	0	0.0002214100276	0.0002856844323
