Feature	Intercept	Avg	Std	Std/Avg	#species	#genes	avg-genes-per-species	std	length	%min_0.05	%min_0.1	%min_0.2	%min_0.3	%min_0.4	%min_0.5	mean_cons	med_cons	q1	q2	q3	q4	q5	q6	q7	q8	q9	GC_Max	GC_Min	GC_Mean	GC_Median	GC_Std	GC_MAD	Recall_normByKOtop20	Precision_normByKOtop20	Recall_highestGenes	Precision_highestGenes
122	1.000000	0.000000	0.000000	0.000000	0.000000	0.002821	0.000000	0.001776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018647	0.000000	0.000000	0.000000	0.000000	0.000000
123	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.031821	-0.028788	-0.013193	0.000000	0.000000	0.000000	0.007260
124	1.000000	-0.007238	0.000000	0.000000	0.008490	0.002212	0.000000	0.000000	0.000000	0.000000	-8.809607e-04	-0.004063	-0.006169	-0.007332	-0.009718	0.000000	0.000000	0.001200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-6.035229e-04	0.000000	0.000000	-0.006968	-0.012741	-0.012421	-0.016226	0.000000	0.000000	-0.002676	0.000000
125	1.000000	0.000000	0.000000	-0.003248	0.000000	0.007393	0.000000	0.007858	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.151561e-04	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009676	0.002390	0.000000	0.000000	0.000000	0.000000	-0.003839	0.000000	0.000000	-0.043592	0.003389	-2.028945e-04	0.000000	0.013174
126	1.000000	-0.002688	0.000000	0.000000	0.007250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-7.639292e-04	-0.019896	-0.022135	-0.032926	0.000000	0.000000	0.000000	1.502112e-04
127	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.052846	-0.010445	0.000000	0.000000	0.000000	0.000000
128	1.000000	0.000000	-0.010287	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024873	-0.083416	-0.014896	0.000000	0.000000	0.000000	0.005366
129	1.000000	0.000000	-0.004861	0.000000	0.000000	0.002363	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005282	-0.008345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015524	-0.074764	0.000000	8.111967e-05	0.000000	0.000000	0.003574
130	1.000000	-0.005164	0.000000	0.000000	0.005837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021057	-0.019830	-0.030088	0.000000	0.000000	0.000000	0.004895
131	1.000000	0.000000	0.000000	0.000000	0.001534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013736	-0.028479	-0.005919	0.000000	0.000000	0.000000	7.634658e-04
132	1.000000	-0.025381	0.000000	0.000000	0.016071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011817	0.000000	0.000000	0.000000	-0.001307	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043305	-0.060912	-0.013672	0.000000	0.000000	0.000000	0.007196
133	1.000000	-0.005917	0.000000	0.000000	0.010099	0.004889	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001100	-0.003137	-0.002203	-0.003125	0.000000	0.000000	-0.001548	-0.008626	-3.911022e-04	0.000000	0.000000	0.006096	0.006368	0.000000	0.000000	0.000000	0.000000	-0.009857	-0.017159	-0.040810	-0.031549	0.016207	-0.003499	0.000000	0.011176
134	1.000000	0.000000	0.000000	0.000000	0.007620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024190	0.000000	0.000000	-0.001304	-0.002132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014134	-0.047037	-0.007441	0.017659	0.000000	0.000000	0.013539
