KO	SRS011061	SRS011134	SRS011239	SRS011271	SRS011302
K03297	2.029e-05	1.389e-05	2.223e-05	3.073e-05	2.261e-05
K03298	8.141e-06	1.884e-06	2.771e-06	5.231e-07	2.914e-06
K03299	2.955e-05	8.275e-05	4.711e-05	2.497e-05	7.792e-05
K03300	3.493e-06	2.353e-05	9.127e-06	7.418e-06	6.616e-06
K03301	3.374e-08	8.049e-07	5.440e-08	8.547e-08	0
K03302	8.453e-07	1.146e-06	6.129e-07	5.152e-07	3.875e-07
K03303	0.000144	0.000161	0.000176	0.000327	7.520e-05
K03304	2.825e-07	1.330e-06	5.177e-07	2.173e-06	6.449e-07
K03305	0.000585	0.000383	0.000588	0.000499	0.000188
K03306	0.000329	0.000143	0.000311	0.000147	0.000162
K03307	0.000780	0.000414	0.000711	0.000707	0.000617
K03308	0.000856	0.000930	0.000725	0.00127	0.00113
K03309	1.968e-05	3.657e-05	1.706e-05	3.712e-05	1.616e-05
K03310	0.000825	0.00108	0.000825	0.00126	0.00132
K03311	6.225e-05	0.000136	4.687e-05	4.774e-05	0.000121
K03312	0.000250	0.000131	0.000312	0.000170	0.000543
K03313	0.000412	0.000259	0.000375	0.000135	0.000110
K03314	9.135e-06	2.244e-06	5.458e-06	2.334e-06	1.274e-06
K03315	0.000643	0.000350	0.000556	0.000231	0.000178
K03316	7.663e-06	1.241e-05	1.292e-05	1.091e-05	2.645e-05
K03317	4.383e-05	2.447e-05	3.340e-05	2.034e-05	8.758e-06
K03319	2.101e-05	1.100e-05	1.109e-05	1.839e-05	3.410e-06
K03320	0.000370	0.000420	0.000338	0.000941	0.000937
K03321	0.000772	0.000509	0.000675	0.000684	0.000236
K03322	0.000354	0.000202	0.000409	0.000157	0.000133
K03323	8.026e-08	3.010e-07	5.155e-07	2.829e-08	4.740e-07
K03324	6.191e-05	7.701e-05	7.911e-05	9.029e-05	0.000131
K03325	0.000146	6.392e-05	0.000184	6.598e-05	9.018e-05
K03326	4.665e-05	1.954e-05	3.022e-05	1.828e-05	6.800e-06
K03327	0.00112	0.000784	0.00115	0.000936	0.000553
K03328	0.000267	0.000160	0.000160	0.000161	6.887e-05
K03329	7.222e-07	4.564e-07	1.963e-07	1.391e-06	1.258e-07
K03330	5.573e-07	1.363e-06	1.549e-06	7.319e-07	5.346e-07
K03331	1.070e-06	9.876e-07	3.628e-06	1.322e-06	1.875e-07
K03332	1.269e-06	1.352e-06	5.711e-07	9.563e-07	8.080e-07
K03333	1.255e-06	1.186e-06	1.941e-06	5.044e-07	6.727e-07
K03334	1.963e-07	4.999e-08	2.832e-07	3.567e-08	6.362e-08
K03335	1.545e-05	1.954e-05	1.518e-05	1.145e-05	2.608e-05
K03336	4.005e-06	1.342e-05	1.246e-05	6.495e-06	1.278e-05
K03337	3.667e-06	1.239e-05	7.115e-06	9.768e-06	7.435e-06
K03338	3.184e-06	1.432e-05	1.673e-05	5.756e-06	1.785e-05
K03339	2.390e-06	1.465e-05	3.229e-05	9.669e-06	6.458e-06
K03340	0.000777	0.000538	0.000616	0.000766	0.000284
K03341	7.535e-08	1.344e-07	1.194e-07	4.536e-08	7.744e-08
K03342	1.772e-06	6.774e-06	1.779e-06	7.422e-06	3.542e-06
K03343	4.046e-08	2.654e-08	1.305e-08	3.062e-09	1.704e-08
K03344	8.756e-08	0	0	0	3.494e-08
K03345	4.354e-08	9.387e-08	3.336e-08	1.384e-08	3.952e-08
K03346	4.243e-07	2.473e-05	5.388e-06	3.235e-06	1.109e-05
K03347	9.213e-08	6.263e-08	2.495e-08	1.462e-08	5.144e-08
K03348	3.033e-07	2.568e-07	3.200e-07	1.416e-07	1.595e-07
K03349	5.434e-07	2.354e-07	1.483e-07	3.045e-07	2.593e-07
K03350	2.271e-06	3.345e-06	5.733e-06	1.850e-06	1.780e-06
K03351	7.013e-08	0	7.798e-08	2.062e-07	1.202e-07
K03352	2.392e-08	2.624e-08	0	4.628e-08	9.517e-08
K03353	2.507e-06	2.578e-06	3.059e-06	2.194e-06	2.331e-06
K03354	1.926e-07	1.699e-07	5.284e-08	4.431e-07	1.960e-07
K03355	6.498e-07	7.287e-07	7.550e-07	4.901e-07	1.534e-07
K03356	0	0	0	0	0
K03357	1.074e-05	1.362e-06	2.082e-06	1.191e-06	1.400e-06
K03358	6.034e-07	2.634e-07	1.413e-07	0	1.594e-07
K03359	0	0	0	0	0
K03360	4.975e-08	8.001e-07	1.380e-08	2.416e-07	4.695e-07
K03361	1.080e-07	1.100e-06	1.584e-06	4.083e-06	1.186e-06
K03362	1.130e-07	2.032e-07	2.374e-07	1.406e-07	2.125e-06
K03363	2.279e-06	3.167e-07	1.628e-07	1.177e-06	3.188e-07
K03364	3.724e-06	7.464e-06	8.038e-07	9.153e-06	6.071e-07
K03366	1.572e-05	2.181e-05	1.282e-05	1.328e-05	2.313e-05
K03367	1.615e-05	3.406e-05	2.163e-05	1.643e-05	2.479e-05
K03368	1.556e-07	2.091e-07	0	0	0
K03369	4.753e-08	0	0	0	0
K03370	0	2.894e-07	0	0	0
K03371	5.102e-08	0	0	0	0
K03372	8.131e-07	3.236e-08	1.589e-07	3.723e-06	4.965e-08
K03373	0	0	0	0	0
K03374	2.774e-07	8.694e-07	4.577e-08	1.225e-05	3.206e-08
K03375	2.825e-07	1.416e-07	1.004e-07	3.356e-08	1.036e-06
K03376	5.367e-08	2.885e-07	1.738e-07	6.814e-08	1.572e-07
K03379	2.895e-07	2.632e-07	1.959e-06	4.428e-07	3.876e-07
K03380	2.367e-07	1.567e-07	8.629e-08	5.711e-08	3.305e-08
K03381	1.064e-05	6.134e-06	4.475e-06	3.670e-05	9.068e-07
K03382	3.116e-05	4.866e-05	2.481e-05	1.281e-05	7.673e-05
K03383	0	0	0	0	3.740e-08
K03384	4.843e-08	0	3.757e-10	5.156e-09	0
K03385	0.000307	0.000122	0.000212	9.151e-05	2.279e-05
K03386	0.000751	0.000536	0.000742	0.000330	0.000276
K03387	0.000444	0.000230	0.000435	0.000154	0.000107
K03388	0.000252	0.000121	0.000113	6.331e-05	9.100e-05
K03389	9.195e-05	3.963e-05	4.966e-05	2.160e-05	3.305e-05
K03390	7.547e-05	5.476e-05	5.431e-05	2.428e-05	3.172e-05
K03391	2.309e-07	7.042e-08	1.690e-07	1.184e-07	4.138e-07
K03392	3.030e-06	2.239e-06	3.957e-06	5.658e-07	3.582e-07
K03393	0	0	0	0	0
K03394	0.000238	0.000107	0.000311	0.000132	9.183e-05
K03395	0	0	0	0	6.309e-11
K03396	1.882e-07	0	0	0	7.135e-08
K03397	0	0	0	0	0
K03399	2.931e-06	1.185e-05	4.947e-06	1.000e-05	1.900e-05
K03400	0	0	0	0	0
K03402	0.000534	0.000551	0.000599	0.000753	0.000535
K03403	2.210e-05	1.784e-05	2.976e-05	4.364e-05	6.049e-06
K03404	4.268e-05	2.362e-05	8.801e-06	1.010e-05	2.233e-05
K03405	6.196e-05	2.520e-05	9.123e-06	1.678e-05	1.944e-05
K03406	8.505e-05	0.000338	9.690e-05	0.000558	0.000175
K03407	0.000133	0.000197	0.000139	0.000182	0.000369
K03408	2.845e-05	9.943e-05	2.131e-05	0.000108	0.000239
K03409	1.514e-05	5.747e-05	5.434e-06	6.586e-06	2.166e-06
K03410	1.111e-05	7.544e-05	1.052e-05	8.414e-05	2.356e-05
K03411	6.684e-05	0.000110	1.135e-05	9.340e-05	2.310e-05
K03412	6.981e-05	0.000133	7.300e-05	0.000175	0.000237
K03413	0.000839	0.000756	0.000968	0.000977	0.000697
K03414	0	2.161e-07	2.651e-07	1.075e-07	1.216e-07
K03415	5.340e-05	0.000117	4.161e-05	0.000159	3.911e-05
K03416	3.468e-08	4.769e-08	2.578e-08	2.328e-08	3.047e-08
K03417	2.219e-06	3.965e-06	1.079e-05	3.573e-06	5.594e-06
K03418	0	0	0	0	0
K03419	4.618e-08	1.347e-07	5.908e-08	4.786e-08	1.410e-07
K03420	1.124e-06	4.837e-06	9.124e-07	1.696e-06	2.574e-06
